["LRY-REL-014285","CLAUSE_SEQUENCE","S08-LRY-PAIR-072-C003","S08-LRY-PAIR-072-C004","FORWARD",["SEQUENCE"],"LRY-PC-0700","ACTIVE"]
["LRY-REL-014286","CLAUSE_SEQUENCE","S08-LRY-PAIR-072-C004","S08-LRY-PAIR-072-C005","FORWARD",["SEQUENCE"],"LRY-PC-0700","ACTIVE"]
["LRY-REL-014287","QUANTITY_SCOPE","S08-LRY-PAIR-072","S08-LRY-PAIR-072-C005","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0700","ACTIVE"]
["LRY-REL-014288","CLAUSE_SEQUENCE","S08-LRY-PAIR-072-C005","S08-LRY-PAIR-072-C006","FORWARD",["SEQUENCE"],"LRY-PC-0700","ACTIVE"]
["LRY-REL-014289","QUANTITY_SCOPE","S08-LRY-PAIR-072","S08-LRY-PAIR-072-C006","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0700","ACTIVE"]
["LRY-REL-014290","CLAUSE_SEQUENCE","S08-LRY-PAIR-072-C006","S08-LRY-PAIR-072-C007","FORWARD",["SEQUENCE"],"LRY-PC-0700","ACTIVE"]
["LRY-REL-014291","NODE_TO_CLAUSE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C001","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014292","NODE_TO_CLAUSE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C002","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014293","NODE_TO_CLAUSE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C003","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014294","NODE_TO_CLAUSE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C004","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014295","NODE_TO_CLAUSE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C005","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014296","NODE_TO_CLAUSE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C006","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014297","NODE_TO_CLAUSE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C007","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0701","ACTIVE"]
